California	36.778259	-119.417931
Texas	31.000000	-100.000000
Florida	27.994402	-81.760254
New_York	43.000000	-75.000000
Pennsylvania	41.203323	-77.194527
Illinois	40.000000	-89.000000
Ohio	40.367474	-82.996216
Georgia	33.247875	-83.441162
North_Carolina	35.630084	-80.000000
Michigan	44.182205	-84.506836
New_Jersey	39.833851	-74.871826
Virginia	37.926868	-78.024902
Washington	47.751076	-120.740135
Arizona	34.048927	-111.093735
Massachusetts	42.407211	-71.382439
Tennessee	35.860119	-86.660156
Indiana	40.273502	-86.126976
Maryland	39.045753	-76.641273
Missouri	38.573936	-92.603760
Wisconsin	44.500000	-89.500000
Colorado	39.113014	-105.358887
Minnesota	46.392410	-94.636230
South_Carolina	33.836082	-81.163727
Alabama	32.318230	-86.902298
Louisiana	30.391330	-92.333180
Kentucky	37.839333	-84.270020
Oregon	44.000000	-120.500000
Oklahoma	36.084621	-96.921387
Connecticut	41.599998	-72.699997
Puerto_Rico	18.220833	-66.605551
Utah	39.419220	-111.950684
Lowa	42.032974	-93.581543
Nevada	39.876019	-117.224121
Arkansas	34.799999	-92.199997
Mississippi	33.000000	-90.000000
Kansas	38.500000	-98.000000
New_Mexico	34.307144	-106.018066
Nebraska	41.500000	-100.000
Idaho	44.000000	-114.000000
West_Virginia	39.000000	-80.000000
Hawaii	21.306947	-157.801242
New_Hampshire	44.000000	-71.500000
Maine	45.367581	-69.240079
Rhode_Island	41.680891	-71.511780
Montana	46.962550	-110.346941
Delaware	39.333857	-75.507698
South_Dakota	44.500000	-100.000000
North_Dakota	47.528928	-100.460783
Alaska	61.190226	-152.077260
District_of_Columbia	38.907192	-77.036873
Vermont	44.000000	-72.750000
Wyoming	43.000000	-107.000000
Guam	13.444304	144.793702
U.S.Virgin_Islands	18.330811	-64.896333
American_Samoa	-14.270973	-170.132219
